datetime,city_code,district_code,district_name_ko,station_id,air_temp,wind_speed,humidity,solar_radiation,source_type,source_detail
2026-04-18T00:00:00,busan,2611,중구,159,15.1,3.2,62.8,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2614,서구,159,13.7,3.3,71.5,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2617,동구,159,14.6,3.2,64.8,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2620,영도구,159,14.1,3.3,68.2,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2623,부산진구,159,14.2,3.3,67.7,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2626,동래구,159,14.5,3.3,66.1,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2629,남구,159,14.4,3.3,67.7,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2632,북구,296,11.9,2.5,84.8,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2635,해운대구,159,13.6,3.4,71.7,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2638,사하구,159,14.1,3.3,67.6,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2641,금정구,159,13.5,3.4,71.8,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2644,강서구,296,11.8,2.5,85.6,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2647,연제구,159,14.4,3.3,66.9,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2650,수영구,159,14.6,3.2,65.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2653,사상구,296,13.0,2.7,77.5,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T00:00:00,busan,2671,기장군,159,13.1,3.4,74.6,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2611,중구,159,14.9,3.4,46.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2614,서구,159,13.5,3.5,54.8,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2617,동구,159,14.4,3.4,48.1,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2620,영도구,159,13.9,3.5,51.5,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2623,부산진구,159,14.0,3.5,51.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2626,동래구,159,14.3,3.4,49.4,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2629,남구,159,14.2,3.5,51.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2632,북구,296,11.4,2.6,68.7,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2635,해운대구,159,13.4,3.5,55.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2638,사하구,159,13.9,3.5,50.9,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2641,금정구,159,13.3,3.6,55.1,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2644,강서구,296,11.3,2.6,69.5,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2647,연제구,159,14.2,3.5,50.2,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2650,수영구,159,14.4,3.4,48.2,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2653,사상구,296,12.6,2.8,61.2,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T01:00:00,busan,2671,기장군,159,12.9,3.6,57.8,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2611,중구,159,14.6,3.0,60.1,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2614,서구,159,13.2,3.1,69.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2617,동구,159,14.1,3.0,62.2,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2620,영도구,159,13.6,3.1,65.7,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2623,부산진구,159,13.7,3.1,65.1,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2626,동래구,159,14.0,3.0,63.5,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2629,남구,159,13.9,3.1,65.1,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2632,북구,296,10.9,2.1,84.3,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2635,해운대구,159,13.1,3.2,69.2,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2638,사하구,159,13.6,3.1,65.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2641,금정구,159,13.0,3.2,69.3,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2644,강서구,296,10.8,2.1,85.1,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2647,연제구,159,13.9,3.1,64.3,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2650,수영구,159,14.1,3.0,62.4,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2653,사상구,296,12.1,2.4,76.3,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T02:00:00,busan,2671,기장군,159,12.6,3.2,72.0,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T03:00:00,busan,2611,중구,159,14.5,2.8,57.6,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
2026-04-18T03:00:00,busan,2614,서구,159,13.1,2.9,66.4,0.0,forecast,KMA 부산 시예보 + 구별 실측 편차 보정
